Name,Displayed As,Symbol,Description,Stacks?,Remove at End Turn?,Remove at Start Turn?,Invisible?,Blocked by Reduce?,Script: When inflicted,Script: On any status infliction,Script: Before Start Turn,Script: On Start Turn,Script: On any equipment use,Script: On any countdown reduce,Script: End Turn,Script: After Combat,Script: On damage inflicted,Script: On damage taken,Script: On status remove
Dice Big,,,what|https://i.imgur.com/P3zIMxe.png,NO,NO,NO,YES,NO,var s = new elements.Skill(~Dice Fubny~); var tw = new motion.actuators.SimpleActuator(null[;]1[;]null); tw._repeat = -1; tw.onRepeat(s.execute[;][self[;]target]); tw.move(); s.remove(); /* i don't think the mod uses this anymore i don't remember teehee */ /* not gonna remove it and find out though */,,,,,,,,,,
jackpotrangeup,Increased_Range,jackpot,Increase jackpot range by <value> at the start of your turn.,YES,NO,NO,NO,NO,,,,self.roll_range += getstatusself(~jackpotrangeup~); self.getskillcard().animate(~flashandshake~); sfx(~_thinghappens~); removestatusself(~jackpotrangeup~[;] ALL);,,,,,,,
rippermode,Ripper_Mode,rippermode,Do [sword]<value> extra damage with each attack this turn.,YES,YES,NO,NO,NO,,,,,,,,,target.hp -= getstatusself(~rippermode~);,,
rippermodefail,Ripper_Mode,rippermode,Do [sword]<value> extra damage with each attack next turn.,YES,NO,NO,NO,NO,,,inflictself(~rippermode~[;] getstatusself(~rippermodefail~)); removestatusself(~rippermodefail~[;] ALL);,,,,,,,,
manualroll,Guaranteed_Jackpot,star,Autoroll automatically <value> time(s).,YES,NO,NO,NO,NO,var s = new elements.Skill(~Against All Odds_old~); var act = new motion.actuators.SimpleActuator(null[;] 0.001[;] null); act.onComplete(s.execute[;] [self[;] target]); s.script = ~ if(!self.roll_error && !self.roll_jackpot){ removestatusself(\~manualroll\~[;] 1); robotroll(true); self.getskillcard().animate(\~flashandshake\~); } else{ sfx(\~jackpot_autoroll\~); } ~; act.move();,,var s = new elements.Skill(~Against All Odds_old~); var act = new motion.actuators.SimpleActuator(null[;] 0.1[;] null); act.onComplete(s.execute[;] [self[;] target]); s.script = ~robotroll(true); self.getskillcard().animate(\~flashandshake\~); removestatusself(\~manualroll\~[;] 1); ~; act.move();,,,,,,,,
survivenomorehehe,,dice3,Big Boner Down The Lane (this erro rmesage)[;][;]    if you're readin' this... talk ta polly...,NO,NO,NO,YES,NO,,,,removestatusself(~survive~[;] ALL); removestatusself(~survivenomorehehe~[;] ALL);,,,,,,,
cursenext,Incoming_Curse,curse,You've cursed yourself for the next turn...,YES,NO,NO,NO,NO,,,,inflictself(~curse~[;] getstatusself(~cursenext~)); sfx(~_curse~); removestatusself(~cursenext~[;] ALL);,,,,,,,
storedprize,Stored_Prize,jackpot,[95%]Next Jackpot skill gets used <value> extra time(s).,YES,NO,NO,NO,NO,var act = new motion.actuators.SimpleActuator(null[;] 0.1[;] null); var s = new elements.DiceyScript(~if(self.roll_jackpot > 0 && self.getskillcard().skills.length >= 3){   for(i in 0...self.getskillcard().skills.length){     var s = self.getskillcard().skills[i];     if(s.script.indexOf(\~storedprizeinjected\~) == -1 && s.script.indexOf(\~storedprizeimmune\~) == -1){       s.script += \~ /*storedprizeinjected*/ if(self.hasstatus(\\\~storedprize\\\~)){var st = self.getstatus(\\\~storedprize\\\~);var newskill = new elements.Skill(\\\~\~+s.name+\~\\\~);var act = new motion.actuators.SimpleActuator(null[;] 0.15+st.value*0.15[;] null);act.onRepeat(newskill.execute[;][self[;]target]);act._repeat = st.value;act.move();self.removestatus(\\\~storedprize\\\~);}\~;     }   } }~); act.onRepeat(s.execute[;] [self[;] target]); act._repeat = -1; s.set(~act~[;] act); s.set(~self~[;] self); act.move();,,,,,,,,,,
storedbonus,Stored_Bonus,jackpot,Bonus Payout will trigger <value> time(s) next turn.,YES,NO,NO,NO,NO,,,,self.roll_jackpotbonus += getstatusself(~storedbonus~); self.roll_range += getstatusself(~storedbonus~); adjustrobotcounter(0); removestatusself(~storedbonus~[;] ALL);,,,,,,,
storedbonusupgraded,Stored_Bonus+,jackpot,Bonus Payout+ will trigger <value> time(s) next turn.,YES,NO,NO,NO,NO,,,,self.roll_jackpotbonus += getstatusself(~storedbonus~); self.roll_range += getstatusself(~storedbonus~) * 2; adjustrobotcounter(0); removestatusself(~storedbonus~[;] ALL);,,,,,,,
